FIPS;Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key
45001;Abbeville;South Carolina;US;09.05.2020 02:32;3.422.333.378;-8.246.170.658;34;0;0;34;Abbeville, South Carolina, US
22001;Acadia;Louisiana;US;09.05.2020 02:32;302.950.649;-9.241.419.698;142;11;0;131;Acadia, Louisiana, US
51001;Accomack;Virginia;US;09.05.2020 02:32;3.776.707.161;-7.563.234.615;463;7;0;456;Accomack, Virginia, US
16001;Ada;Idaho;US;09.05.2020 02:32;434.526.575;-11.624.155.159.999.900;721;19;0;702;Ada, Idaho, US
19001;Adair;Iowa;US;09.05.2020 02:32;4.133.075.609;-9.447.105.874;3;0;0;3;Adair, Iowa, US
21001;Adair;Kentucky;US;09.05.2020 02:32;3.710.459.774;-8.528.129.668;84;13;0;71;Adair, Kentucky, US
29001;Adair;Missouri;US;09.05.2020 02:32;4.019.058.551;-9.260.078.167;12;0;0;12;Adair, Missouri, US
40001;Adair;Oklahoma;US;09.05.2020 02:32;3.588.494.195;-9.465.859.267;72;3;0;69;Adair, Oklahoma, US
8001;Adams;Colorado;US;09.05.2020 02:32;3.987.432.092;-1.043.362.578;2117;80;0;2037;Adams, Colorado, US
16003;Adams;Idaho;US;09.05.2020 02:32;4.489.333.571;-1.164.545.247;3;0;0;3;Adams, Idaho, US
17001;Adams;Illinois;US;09.05.2020 02:32;3.998.815.591;-9.118.786.813;41;1;0;40;Adams, Illinois, US
18001;Adams;Indiana;US;09.05.2020 02:32;407.457.653;-8.493.671.406;8;1;0;7;Adams, Indiana, US
28001;Adams;Mississippi;US;09.05.2020 02:32;3.147.669.768;-9.135.326.037;157;11;0;146;Adams, Mississippi, US
31001;Adams;Nebraska;US;09.05.2020 02:32;4.052.449.420.000.000;-9.850.117.804;218;3;0;215;Adams, Nebraska, US
39001;Adams;Ohio;US;09.05.2020 02:32;3.884.541.072;-834.718.964;5;0;0;5;Adams, Ohio, US
42001;Adams;Pennsylvania;US;09.05.2020 02:32;3.987.140.411;-7.721.610.347;154;5;0;149;Adams, Pennsylvania, US
53001;Adams;Washington;US;09.05.2020 02:32;4.698.299.757;-1.185.601.734;49;0;0;49;Adams, Washington, US
55001;Adams;Wisconsin;US;09.05.2020 02:32;4.396.974.651;-8.976.782.777;4;1;0;3;Adams, Wisconsin, US
50001;Addison;Vermont;US;09.05.2020 02:32;4.403.217.337;-7.314.130.877;62;2;0;60;Addison, Vermont, US
45003;Aiken;South Carolina;US;09.05.2020 02:32;3.354.338.026;-8.163.645.384;112;6;0;106;Aiken, South Carolina, US
27001;Aitkin;Minnesota;US;09.05.2020 02:32;4.660.962.049;-934.116.826;2;0;0;2;Aitkin, Minnesota, US
12001;Alachua;Florida;US;09.05.2020 02:32;2.967.866.525;-8.235.928.158;306;5;0;301;Alachua, Florida, US
37001;Alamance;North Carolina;US;09.05.2020 02:32;360.434.701;-7.939.976.137;149;3;0;146;Alamance, North Carolina, US
6001;Alameda;California;US;09.05.2020 02:32;3.764.629.437;-1.218.929.271;1961;70;0;1891;Alameda, California, US
8003;Alamosa;Colorado;US;09.05.2020 02:32;3.757.250.606;-1.057.885.451;25;2;0;23;Alamosa, Colorado, US
36001;Albany;New York;US;09.05.2020 02:32;4.260.060.306;-7.397.723.916;1384;53;0;1331;Albany, New York, US
56001;Albany;Wyoming;US;09.05.2020 02:32;4.165.498.705;-1.057.235.415;8;0;0;8;Albany, Wyoming, US
51003;Albemarle;Virginia;US;09.05.2020 02:32;3.802.080.697;-7.855.481.085;116;4;0;112;Albemarle, Virginia, US
26001;Alcona;Michigan;US;09.05.2020 02:32;446.846.864;-8.359.507.875;4;1;0;3;Alcona, Michigan, US
28003;Alcorn;Mississippi;US;09.05.2020 02:32;3.488.084.463;-8.857.996.173;10;1;0;9;Alcorn, Mississippi, US
17003;Alexander;Illinois;US;09.05.2020 02:32;3.718.049.267;-8.932.910.838;6;0;0;6;Alexander, Illinois, US
37003;Alexander;North Carolina;US;09.05.2020 02:32;35.922.379.600.000.000;-8.117.751.948;8;0;0;8;Alexander, North Carolina, US
51510;Alexandria;Virginia;US;09.05.2020 02:32;38.814.003;-7.708.183.073;1110;29;0;1081;Alexandria, Virginia, US
40003;Alfalfa;Oklahoma;US;09.05.2020 02:32;3.673.090.616;-9.832.408.495;1;0;0;1;Alfalfa, Oklahoma, US
19005;Allamakee;Iowa;US;09.05.2020 02:32;4.328.383.218;-9.137.860.922;101;4;0;97;Allamakee, Iowa, US
26005;Allegan;Michigan;US;09.05.2020 02:32;4.259.147.037;-8.589.102.866;130;2;0;128;Allegan, Michigan, US
24001;Allegany;Maryland;US;09.05.2020 02:32;3.962.357.628;-7.869.280.486;143;12;0;131;Allegany, Maryland, US
36003;Allegany;New York;US;09.05.2020 02:32;4.225.748.406;-7.802.750.466;35;0;0;35;Allegany, New York, US
37005;Alleghany;North Carolina;US;09.05.2020 02:32;3.649.360.862;-8.112.857.041;7;0;0;7;Alleghany, North Carolina, US
51005;Alleghany;Virginia;US;09.05.2020 02:32;3.778.636.074;-8.000.222.498;6;0;0;6;Alleghany, Virginia, US
42003;Allegheny;Pennsylvania;US;09.05.2020 02:32;4.046.809.875;-7.998.167.747;1455;119;0;1336;Allegheny, Pennsylvania, US
18003;Allen;Indiana;US;09.05.2020 02:32;4.109.194.313;-8.506.800.636;781;58;0;723;Allen, Indiana, US
21003;Allen;Kentucky;US;09.05.2020 02:32;3.675.197.631;-8.619.457.544;25;0;0;25;Allen, Kentucky, US
22003;Allen;Louisiana;US;09.05.2020 02:32;3.065.385.745;-9.282.442.028;90;9;0;81;Allen, Louisiana, US
39003;Allen;Ohio;US;09.05.2020 02:32;4.077.285.242;-8.410.802.343;139;29;0;110;Allen, Ohio, US
45005;Allendale;South Carolina;US;09.05.2020 02:32;3.298.837.386;-8.135.321.066;23;3;0;20;Allendale, South Carolina, US
26007;Alpena;Michigan;US;09.05.2020 02:32;4.503.477.666;-8.362.212.411;86;8;0;78;Alpena, Michigan, US
6003;Alpine;California;US;09.05.2020 02:32;3.859.678.594;-1.198.223.594;2;0;0;2;Alpine, California, US
6005;Amador;California;US;09.05.2020 02:32;3.844.583.082;-12.065.696;8;0;0;8;Amador, California, US
51007;Amelia;Virginia;US;09.05.2020 02:32;3.734.081.025;-7.798.584.649;17;1;0;16;Amelia, Virginia, US
51009;Amherst;Virginia;US;09.05.2020 02:32;3.760.308.293;-7.914.548.696;15;0;0;15;Amherst, Virginia, US
28005;Amite;Mississippi;US;09.05.2020 02:32;3.117.467.303;-9.080.501.621;33;0;0;33;Amite, Mississippi, US
2020;Anchorage;Alaska;US;09.05.2020 02:32;6.114.998.174;-14.914.269.860.000.000;194;4;0;190;Anchorage, Alaska, US
20003;Anderson;Kansas;US;09.05.2020 02:32;3.821.413.251;-9.529.272.815;0;0;0;0;Anderson, Kansas, US
21005;Anderson;Kentucky;US;09.05.2020 02:32;3.800.671.029;-8.499.171.713;9;1;0;8;Anderson, Kentucky, US
45007;Anderson;South Carolina;US;09.05.2020 02:32;3.451.828.081;-8.263.959.517;181;8;0;173;Anderson, South Carolina, US
47001;Anderson;Tennessee;US;09.05.2020 02:32;3.612.684.348;-8.419.965.764;31;1;0;30;Anderson, Tennessee, US
48001;Anderson;Texas;US;09.05.2020 02:32;3.181.534.745;-9.565.354.823;41;0;0;41;Anderson, Texas, US
29003;Andrew;Missouri;US;09.05.2020 02:32;3.998.492.163;-9.480.163.024;6;0;0;6;Andrew, Missouri, US
48003;Andrews;Texas;US;09.05.2020 02:32;3.230.468.633;-1.026.376.548;21;0;0;21;Andrews, Texas, US
23001;Androscoggin;Maine;US;09.05.2020 02:32;441.664.747;-7.020.380.627;78;2;0;76;Androscoggin, Maine, US
48005;Angelina;Texas;US;09.05.2020 02:32;3.125.457.347;-9.460.901.487;100;0;0;100;Angelina, Texas, US
24003;Anne Arundel;Maryland;US;09.05.2020 02:32;3.900.670.238;-7.660.329.337;2290;115;0;2175;Anne Arundel, Maryland, US
27003;Anoka;Minnesota;US;09.05.2020 02:32;4.527.476.015;-9.324.604.565;477;27;0;450;Anoka, Minnesota, US
37007;Anson;North Carolina;US;09.05.2020 02:32;3.497.403.241;-8.009.953.279;37;0;0;37;Anson, North Carolina, US
31003;Antelope;Nebraska;US;09.05.2020 02:32;4.217.695.516;-980.666.283;5;0;0;5;Antelope, Nebraska, US
26009;Antrim;Michigan;US;09.05.2020 02:32;4.499.690.221;-8.515.503.082;10;0;0;10;Antrim, Michigan, US
4001;Apache;Arizona;US;09.05.2020 02:32;3.539.465.006;-1.094.892.383;671;10;0;661;Apache, Arizona, US
19007;Appanoose;Iowa;US;09.05.2020 02:32;4.074.324.454;-9.286.865.906;6;3;0;3;Appanoose, Iowa, US
13001;Appling;Georgia;US;09.05.2020 02:32;3.174.847.232;-8.228.909.114;89;10;0;79;Appling, Georgia, US
51011;Appomattox;Virginia;US;09.05.2020 02:32;3.737.569.884;-7.881.340.003;21;0;0;21;Appomattox, Virginia, US
48007;Aransas;Texas;US;09.05.2020 02:32;2.810.556.197;-969.995.047;2;0;0;2;Aransas, Texas, US
8005;Arapahoe;Colorado;US;09.05.2020 02:32;3.964.977.461;-1.043.353.617;3148;177;0;2971;Arapahoe, Colorado, US
8007;Archuleta;Colorado;US;09.05.2020 02:32;3.719.474.156;-10.704.768.670.000.000;8;0;0;8;Archuleta, Colorado, US
26011;Arenac;Michigan;US;09.05.2020 02:32;440.636.262;-8.389.277.559;27;1;0;26;Arenac, Michigan, US
5001;Arkansas;Arkansas;US;09.05.2020 02:32;3.429.145.151;-9.137.277.296;2;0;0;2;Arkansas, Arkansas, US
51013;Arlington;Virginia;US;09.05.2020 02:32;388.767.675;-7.710.139.853;1281;57;0;1224;Arlington, Virginia, US
42005;Armstrong;Pennsylvania;US;09.05.2020 02:32;4.081.665.618;-7.946.290.811;55;3;0;52;Armstrong, Pennsylvania, US
48011;Armstrong;Texas;US;09.05.2020 02:32;3.496.507.426;-1.013.574.874;2;0;0;2;Armstrong, Texas, US
23003;Aroostook;Maine;US;09.05.2020 02:32;4.665.926.321;-6.859.841.248;6;0;0;6;Aroostook, Maine, US
31005;Arthur;Nebraska;US;09.05.2020 02:32;4.156.896.142;-1.016.959.559;0;0;0;0;Arthur, Nebraska, US
22005;Ascension;Louisiana;US;09.05.2020 02:32;3.020.406.249;-9.091.328.409.999.990;675;46;0;629;Ascension, Louisiana, US
37009;Ashe;North Carolina;US;09.05.2020 02:32;3.643.296.207;-8.149.862.729;7;0;0;7;Ashe, North Carolina, US
39005;Ashland;Ohio;US;09.05.2020 02:32;4.084.772.277;-8.227.280.781;12;0;0;12;Ashland, Ohio, US
55003;Ashland;Wisconsin;US;09.05.2020 02:32;4.631.956.891;-9.067.837.132;2;0;0;2;Ashland, Wisconsin, US
5003;Ashley;Arkansas;US;09.05.2020 02:32;3.319.153.461;-917.698.471;17;0;0;17;Ashley, Arkansas, US
39007;Ashtabula;Ohio;US;09.05.2020 02:32;4.170.860.332;-8.074.830.218;172;18;0;154;Ashtabula, Ohio, US
53003;Asotin;Washington;US;09.05.2020 02:32;4.618.894.415;-1.172.022.851;18;2;0;16;Asotin, Washington, US
22007;Assumption;Louisiana;US;09.05.2020 02:32;2.989.946.234;-9.106.461.642;206;10;0;196;Assumption, Louisiana, US
48013;Atascosa;Texas;US;09.05.2020 02:32;2.889.333.001;-9.852.730.485;22;1;0;21;Atascosa, Texas, US
20005;Atchison;Kansas;US;09.05.2020 02:32;3.953.185.661;-9.530.870.026;12;0;0;12;Atchison, Kansas, US
29005;Atchison;Missouri;US;09.05.2020 02:32;4.043.238.737;-9.542.970.639;2;0;0;2;Atchison, Missouri, US
39009;Athens;Ohio;US;09.05.2020 02:32;3.933.425.634;-8.204.278.644;4;1;0;3;Athens, Ohio, US
13003;Atkinson;Georgia;US;09.05.2020 02:32;3.129.633.502;-8.287.545.866;20;1;0;19;Atkinson, Georgia, US
34001;Atlantic;New Jersey;US;09.05.2020 02:32;3.947.538.693;-7.465.848.483;1423;68;0;1355;Atlantic, New Jersey, US
40005;Atoka;Oklahoma;US;09.05.2020 02:32;3.437.366.573;-9.603.802.487;1;0;0;1;Atoka, Oklahoma, US
28007;Attala;Mississippi;US;09.05.2020 02:32;3.308.658.803;-8.957.838.564;182;4;0;178;Attala, Mississippi, US
29007;Audrain;Missouri;US;09.05.2020 02:32;39.215.877;-9.184.242.683;1;0;0;1;Audrain, Missouri, US
19009;Audubon;Iowa;US;09.05.2020 02:32;416.844.628;-9.490.581.859;9;0;0;9;Audubon, Iowa, US
39011;Auglaize;Ohio;US;09.05.2020 02:32;4.055.998.859;-8.422.421.429.999.990;42;3;0;39;Auglaize, Ohio, US
51015;Augusta;Virginia;US;09.05.2020 02:32;3.816.404.586;-7.912.461.614;55;1;0;54;Augusta, Virginia, US
46003;Aurora;South Dakota;US;09.05.2020 02:32;4.371.757.685;-9.856.050.467;1;0;0;1;Aurora, South Dakota, US
48015;Austin;Texas;US;09.05.2020 02:32;2.988.548.725;-9.627.736.949;14;0;0;14;Austin, Texas, US
1001;Autauga;Alabama;US;09.05.2020 02:32;3.253.952.745;-8.664.408.227;67;4;0;63;Autauga, Alabama, US
22009;Avoyelles;Louisiana;US;09.05.2020 02:32;3.107.796.211;-9.200.079.449;74;7;0;67;Avoyelles, Louisiana, US
8009;Baca;Colorado;US;09.05.2020 02:32;3.731.940.883;-1.025.603.223;12;0;0;12;Baca, Colorado, US
13005;Bacon;Georgia;US;09.05.2020 02:32;3.155.456.473;-8.245.936.528;35;1;0;34;Bacon, Georgia, US
48017;Bailey;Texas;US;09.05.2020 02:32;3.406.854.817;-1.028.299.707;2;0;0;2;Bailey, Texas, US
12003;Baker;Florida;US;09.05.2020 02:32;3.033.060.121;-8.228.467.476;24;3;0;21;Baker, Florida, US
13007;Baker;Georgia;US;09.05.2020 02:32;3.132.669.878;-8.444.218.806;31;2;0;29;Baker, Georgia, US
41001;Baker;Oregon;US;09.05.2020 02:32;4.470.915.557;-1.176.749.883;1;0;0;1;Baker, Oregon, US
1003;Baldwin;Alabama;US;09.05.2020 02:32;3.072.774.991;-8.772.207.058;208;5;0;203;Baldwin, Alabama, US
13009;Baldwin;Georgia;US;09.05.2020 02:32;3.306.882.326;-8.324.701.748;271;12;0;259;Baldwin, Georgia, US
21007;Ballard;Kentucky;US;09.05.2020 02:32;3.705.842.757;-8.899.427.697;8;0;0;8;Ballard, Kentucky, US
24005;Baltimore;Maryland;US;09.05.2020 02:32;3.945.784.712;-7.662.911.955;3763;177;0;3586;Baltimore, Maryland, US
24510;Baltimore City;Maryland;US;09.05.2020 02:32;3.930.211.911;-7.661.151.012;2941;155;0;2786;Baltimore City, Maryland, US
45009;Bamberg;South Carolina;US;09.05.2020 02:32;3.321.927.586;-8.105.659.969;14;0;0;14;Bamberg, South Carolina, US
48019;Bandera;Texas;US;09.05.2020 02:32;2.974.619.598;-9.924.598.147;6;0;0;6;Bandera, Texas, US
13011;Banks;Georgia;US;09.05.2020 02:32;3.435.607.081;-8.349.644.388;35;0;0;35;Banks, Georgia, US
16005;Bannock;Idaho;US;09.05.2020 02:32;4.267.002.716;-1.122.233.311;12;0;0;12;Bannock, Idaho, US
26013;Baraga;Michigan;US;09.05.2020 02:32;466.720.582;-8.836.363.591;1;0;0;1;Baraga, Michigan, US
20007;Barber;Kansas;US;09.05.2020 02:32;372.288.586;-9.868.460.053;1;0;0;1;Barber, Kansas, US
1005;Barbour;Alabama;US;09.05.2020 02:32;31.868.263;-853.871.286;53;1;0;52;Barbour, Alabama, US
54001;Barbour;West Virginia;US;09.05.2020 02:32;391.307.219;-8.000.350.858;7;1;0;6;Barbour, West Virginia, US
38003;Barnes;North Dakota;US;09.05.2020 02:32;4.693.579.637;-9.806.605.978;4;0;0;4;Barnes, North Dakota, US
25001;Barnstable;Massachusetts;US;09.05.2020 02:32;4.172.980.578;-7.028.854.339;1038;61;0;977;Barnstable, Massachusetts, US
45011;Barnwell;South Carolina;US;09.05.2020 02:32;3.326.679.302;-8.143.584.352;32;0;0;32;Barnwell, South Carolina, US
21009;Barren;Kentucky;US;09.05.2020 02:32;3.696.469.836;-8.593.338.945;24;0;0;24;Barren, Kentucky, US
55005;Barron;Wisconsin;US;09.05.2020 02:32;4.542.372.701;-9.184.833.627;10;0;0;10;Barron, Wisconsin, US
13013;Barrow;Georgia;US;09.05.2020 02:32;3.399.148.694;-8.371.436.292;192;5;0;187;Barrow, Georgia, US
26015;Barry;Michigan;US;09.05.2020 02:32;4.259.513.984;-8.530.834.519;44;1;0;43;Barry, Michigan, US
29009;Barry;Missouri;US;09.05.2020 02:32;3.670.978.521;-9.382.919.888;6;0;0;6;Barry, Missouri, US
18005;Bartholomew;Indiana;US;09.05.2020 02:32;3.920.744.865;-8.589.558.181;331;22;0;309;Bartholomew, Indiana, US
20009;Barton;Kansas;US;09.05.2020 02:32;3.847.889.676;-9.875.636.726;17;1;0;16;Barton, Kansas, US
13015;Bartow;Georgia;US;09.05.2020 02:32;3.423.732.119;-8.483.887.523;361;31;0;330;Bartow, Georgia, US
48021;Bastrop;Texas;US;09.05.2020 02:32;3.010.370.699;-9.731.206.354;106;2;0;104;Bastrop, Texas, US
29013;Bates;Missouri;US;09.05.2020 02:32;3.825.271.289;-9.434.113.157;6;1;0;5;Bates, Missouri, US
21011;Bath;Kentucky;US;09.05.2020 02:32;3.814.735.938;-8.374.588.932;4;1;0;3;Bath, Kentucky, US
51017;Bath;Virginia;US;09.05.2020 02:32;3.805.852.573;-7.973.912.095;0;0;0;0;Bath, Virginia, US
5005;Baxter;Arkansas;US;09.05.2020 02:32;3.628.784.385;-9.233.782.872;5;0;0;5;Baxter, Arkansas, US
12005;Bay;Florida;US;09.05.2020 02:32;3.026.548.745;-8.562.122.584;76;3;0;73;Bay, Florida, US
26017;Bay;Michigan;US;09.05.2020 02:32;4.370.639.106;-8.398.731.479;185;9;0;176;Bay, Michigan, US
55007;Bayfield;Wisconsin;US;09.05.2020 02:32;4.652.868.768;-9.119.716.729;3;1;0;2;Bayfield, Wisconsin, US
46005;Beadle;South Dakota;US;09.05.2020 02:32;4.441.464.384;-9.827.858.469;21;2;0;19;Beadle, South Dakota, US
;Bear River;Utah;US;09.05.2020 02:32;4.152.106.798;-1.130.832.816;66;1;0;65;Bear River, Utah, US
37013;Beaufort;North Carolina;US;09.05.2020 02:32;3.548.531.943;-7.684.325.809;24;0;0;24;Beaufort, North Carolina, US
45013;Beaufort;South Carolina;US;09.05.2020 02:32;3.239.226.291;-8.072.619.758;273;12;0;261;Beaufort, South Carolina, US
22011;Beauregard;Louisiana;US;09.05.2020 02:32;3.064.836.518;-9.334.173.616;44;4;0;40;Beauregard, Louisiana, US
40007;Beaver;Oklahoma;US;09.05.2020 02:32;367.496.847;-1.004.758.872;19;0;0;19;Beaver, Oklahoma, US
42007;Beaver;Pennsylvania;US;09.05.2020 02:32;406.825.484;-8.034.921.611;479;78;0;401;Beaver, Pennsylvania, US
30001;Beaverhead;Montana;US;09.05.2020 02:32;4.513.434.354;-1.128.984.694;1;0;0;1;Beaverhead, Montana, US
27005;Becker;Minnesota;US;09.05.2020 02:32;4.693.479.392;-9.567.158.144;22;0;0;22;Becker, Minnesota, US
40009;Beckham;Oklahoma;US;09.05.2020 02:32;3.526.862.449;-9.968.128.023;6;0;0;6;Beckham, Oklahoma, US
42009;Bedford;Pennsylvania;US;09.05.2020 02:32;4.000.522.157;-7.848.998.442;28;1;0;27;Bedford, Pennsylvania, US
47003;Bedford;Tennessee;US;09.05.2020 02:32;3.551.123.746;-8.645.549.096;222;3;0;219;Bedford, Tennessee, US
51019;Bedford;Virginia;US;09.05.2020 02:32;373.080.028;-795.281.964;37;1;0;36;Bedford, Virginia, US
48025;Bee;Texas;US;09.05.2020 02:32;2.841.761.668;-9.774.215.593;6;0;0;6;Bee, Texas, US
33001;Belknap;New Hampshire;US;09.05.2020 02:32;4.351.637.314;-7.141.684.235;42;0;0;42;Belknap, New Hampshire, US
48027;Bell;Texas;US;09.05.2020 02:32;3.103.736.027;-974.785.025;218;3;0;215;Bell, Texas, US
39013;Belmont;Ohio;US;09.05.2020 02:32;4.001.625.942;-809.924.051;216;7;0;209;Belmont, Ohio, US
27007;Beltrami;Minnesota;US;09.05.2020 02:32;4.797.373.527;-9.493.732.139;6;0;0;6;Beltrami, Minnesota, US
13017;Ben Hill;Georgia;US;09.05.2020 02:32;3.176.095.874;-8.322.145.359;39;0;0;39;Ben Hill, Georgia, US
50003;Bennington;Vermont;US;09.05.2020 02:32;4.303.519.828;-7.309.048.868;54;1;0;53;Bennington, Vermont, US
